Season,Match,Y/M/D,Pool,Week,City,Country,Team,VS_Team,SET_Won,SET_Lost,Point1,Point2,Point3,Point4,Point5,VS_Point1,VS_Point2,VS_Point3,VS_Point4,VS_Point5,SET,Service points won,Service,Receiver points won,Receiver,SCORING_Total ABS,SCORING_Attack Points,SCORING_Block Points,SCORING_Serve Points,SCORING_Errors,ATTACK_Point,ATTACK_Errors,ATTACK_Attempts,ATTACK_Total,BLOCK_Point,BLOCK_Errors,BLOCK_Touches,BLOCK_Total,SERVE_Point,SERVE_Errors,SERVE_Attempts,SERVE_Total,RECEPTION_Successful,RECEPTION_Errors,RECEPTION_Attempts,RECEPTION_Total,DIG_Digs,DIG_Errors,DIG_Total,SET_Point,SET_Errors,SET_Attempts,SET_Total
Men,9,2025/6/12,2,1,Rio de Janeiro,Brazil,Cuba,Slovenia,1,3,22,25,18,15,-,25,21,25,25,-,3,5,18,13,25,14,12,2,0,-,12,7,12,31,2,4,2,8,0,5,14,19,6,1,14,21,9,3,13,4,0,24,28
Men,9,2025/6/12,2,1,Rio de Janeiro,Brazil,Cuba,Slovenia,1,3,22,25,18,15,-,25,21,25,25,-,4,4,16,11,24,10,5,5,0,-,5,6,9,20,5,3,1,9,0,4,11,15,0,4,17,21,3,3,9,4,0,16,20
Men,10,2025/6/12,3,1,Xi'an,China,China,Serbia,3,0,25,25,25,-,-,23,23,20,-,-,ALL,24,73,51,68,54,38,13,3,-,38,13,38,89,13,13,10,36,3,11,59,73,13,1,41,55,18,8,51,39,2,48,89
Men,10,2025/6/12,3,1,Xi'an,China,China,Serbia,3,0,25,25,25,-,-,23,23,20,-,-,1,7,24,18,24,18,16,2,0,-,16,4,12,32,2,5,1,8,0,5,19,24,4,0,17,21,6,1,13,18,0,13,31
Men,10,2025/6/12,3,1,Xi'an,China,China,Serbia,3,0,25,25,25,-,-,23,23,20,-,-,2,8,25,17,23,17,11,3,3,-,11,3,7,21,3,7,2,12,3,5,17,25,3,1,13,17,5,3,13,10,1,11,22
Men,10,2025/6/12,3,1,Xi'an,China,China,Serbia,3,0,25,25,25,-,-,23,23,20,-,-,3,9,24,16,21,19,11,8,0,-,11,6,19,36,8,1,7,16,0,1,23,24,6,0,11,17,7,4,25,11,1,24,36
Men,10,2025/6/12,3,1,Xi'an,China,Serbia,China,0,3,23,23,20,-,-,25,25,25,-,-,ALL,17,68,49,73,51,39,11,1,-,39,20,27,86,11,11,25,47,1,13,54,68,12,3,47,62,18,10,41,21,1,66,88
Men,10,2025/6/12,3,1,Xi'an,China,Serbia,China,0,3,23,23,20,-,-,25,25,25,-,-,1,6,24,17,24,17,14,3,0,-,14,5,3,22,3,7,9,19,0,3,21,24,2,0,17,19,5,3,9,3,1,21,25
Men,10,2025/6/12,3,1,Xi'an,China,Serbia,China,0,3,23,23,20,-,-,25,25,25,-,-,2,6,23,17,25,17,13,3,1,-,13,5,9,27,3,3,3,9,1,6,16,23,5,3,12,20,5,3,12,13,0,13,26
Men,10,2025/6/12,3,1,Xi'an,China,Serbia,China,0,3,23,23,20,-,-,25,25,25,-,-,3,5,21,15,24,17,12,5,0,-,12,10,15,37,5,1,13,19,0,4,17,21,5,0,18,23,8,4,20,5,0,32,37
